inspection_id,restaurant_id,inspection_date,inspector_id,score,critical_violations,noncritical_violations,reinspection_required
INS-00001,R0231,2023-09-17,E110,93.8,0,0,N
INS-00002,R0177,2023-01-12,E106,90.4,0,3,N
INS-00003,R0188,2024-12-15,E115,92.4,0,0,N
INS-00004,R0111,2023-12-24,E120,79.3,3,10,Y
INS-00005,R0083,2025-05-15,E125,89.8,2,3,Y
INS-00006,R0211,2024-02-28,E147,86.9,3,3,Y
INS-00007,R0255,2025-04-29,E117,88.9,2,5,Y
INS-00008,R0265,2024-08-08,E109,91.4,2,1,Y
INS-00009,R0141,2024-01-23,E121,92.7,0,4,N
INS-00010,R0119,2025-03-30,E114,95.9,0,3,N
INS-00011,R0063,2024-04-02,E133,92.4,0,5,N
INS-00012,R0085,2023-12-06,E105,95.7,0,3,N
INS-00013,R0259,2024-06-16,E133,89.3,1,2,N
INS-00014,R0093,2023-04-22,E137,86.1,2,4,Y
INS-00015,R0110,2024-02-04,E135,94.0,0,3,N
INS-00016,R0109,2024-08-27,E146,92.0,0,5,N
INS-00017,R0122,2023-10-20,E120,100.0,0,1,N
INS-00018,R0104,2025-07-09,E102,90.7,0,3,N
INS-00019,R0005,2023-08-02,E142,87.4,2,6,Y
INS-00020,R0088,2023-08-16,E146,100.0,0,1,N
INS-00021,R0093,2024-11-12,E137,85.5,2,5,Y
INS-00022,R0145,2024-01-12,E139,98.5,0,2,N
INS-00023,R0092,2025-01-29,E104,93.2,0,2,N
INS-00024,R0035,2024-05-03,E128,91.7,0,2,N
INS-00025,R0112,2023-11-09,E124,91.9,0,7,N
INS-00026,R0112,2024-05-29,E105,90.7,2,1,Y
INS-00027,R0119,2025-09-18,E119,98.9,0,1,N
INS-00028,R0267,2025-12-04,E128,91.0,2,2,Y
INS-00029,R0240,2024-08-05,E140,94.5,0,1,N
INS-00030,R0106,2024-01-30,E135,87.2,2,3,Y
INS-00031,R0216,2025-07-02,E144,87.2,2,5,Y
INS-00032,R0136,2023-05-26,E139,95.1,0,0,N
INS-00033,R0179,2025-05-26,E127,87.6,1,6,N
INS-00034,R0050,2024-05-28,E128,95.5,1,2,N
INS-00035,R0237,2023-09-11,E126,92.7,1,2,N
INS-00036,R0163,2025-09-19,E105,94.6,0,5,N
INS-00037,R0219,2024-01-09,E112,93.5,1,2,N
INS-00038,R0204,2024-05-21,E117,95.2,0,5,N
INS-00039,R0174,2025-07-16,E104,85.1,2,2,Y
INS-00040,R0284,2025-07-07,E128,83.4,2,4,Y
INS-00041,R0129,2023-04-29,E101,94.0,0,3,N
INS-00042,R0153,2025-04-14,E138,94.6,0,2,N
INS-00043,R0168,2025-01-28,E126,90.0,2,3,Y
INS-00044,R0193,2024-08-29,E143,89.3,0,4,N
INS-00045,R0055,2024-06-27,E127,93.0,1,3,N
INS-00046,R0193,2023-12-16,E128,89.4,0,7,N
INS-00047,R0022,2025-10-22,E138,97.1,0,0,N
INS-00048,R0289,2025-11-04,E144,90.2,1,3,N
INS-00049,R0272,2024-03-23,E145,96.3,0,1,N
INS-00050,R0300,2023-06-26,E128,90.8,0,1,N
