restaurant_id,restaurant_name,city,cuisine_category,seats,year_opened,permit_status
R0001,Hillsborough House,Fuquay-Varina,BBQ,56,1976,Active
R0001,Hillsborough House,Fuquay-Varina,Vegetarian Options,56,1976,Active
R0001,Hillsborough House,Fuquay-Varina,Mexican,56,1976,Active
R0001,Hillsborough House,Fuquay-Varina,Food Truck,56,1976,Active
R0001,Hillsborough House,Fuquay-Varina,Catering,56,1976,Active
R0002,Lenoir Creamery,Holly Springs,Breakfast,70,2009,Active
R0002,Lenoir Creamery,Holly Springs,Vegan,70,2009,Active
R0003,Trinity Diner,Morrisville,Buffet,150,2004,Active
R0003,Trinity Diner,Morrisville,Delivery,150,2004,Active
R0003,Trinity Diner,Morrisville,Mexican,150,2004,Active
R0003,Trinity Diner,Morrisville,Vegan,150,2004,Active
R0003,Trinity Diner,Morrisville,Halal,150,2004,Active
R0003,Trinity Diner,Morrisville,Seafood,150,2004,Active
R0003,Trinity Diner,Morrisville,Breakfast,150,2004,Active
R0003,Trinity Diner,Morrisville,Vegetarian Options,150,2004,Active
R0004,Davie Trattoria,Apex,Delivery,64,1972,Active
R0004,Davie Trattoria,Apex,Seafood,64,1972,Active
R0004,Davie Trattoria,Apex,Mexican,64,1972,Active
R0004,Davie Trattoria,Apex,Vegetarian Options,64,1972,Active
R0005,Harrington Chophouse,Cary,Pizza,67,1987,Active
R0005,Harrington Chophouse,Cary,Buffet,67,1987,Active
R0005,Harrington Chophouse,Cary,Southern,67,1987,Active
R0005,Harrington Chophouse,Cary,Sports Bar,67,1987,Active
R0005,Harrington Chophouse,Cary,Vietnamese,67,1987,Active
R0005,Harrington Chophouse,Cary,Catering,67,1987,Active
R0005,Harrington Chophouse,Cary,Thai,67,1987,Active
R0005,Harrington Chophouse,Cary,Mexican,67,1987,Active
R0006,Edenton Public House,Cary,Food Truck,27,1973,Lapsed
R0006,Edenton Public House,Cary,Halal,27,1973,Lapsed
R0006,Edenton Public House,Cary,Vegetarian Options,27,1973,Lapsed
R0006,Edenton Public House,Cary,Thai,27,1973,Lapsed
R0006,Edenton Public House,Cary,Breakfast,27,1973,Lapsed
R0006,Edenton Public House,Cary,Mexican,27,1973,Lapsed
R0006,Edenton Public House,Cary,Pizza,27,1973,Lapsed
R0007,Pullen Tavern,Holly Springs,Mexican,187,1993,Active
R0007,Pullen Tavern,Holly Springs,Seafood,187,1993,Active
R0007,Pullen Tavern,Holly Springs,Buffet,187,1993,Active
R0007,Pullen Tavern,Holly Springs,Vegan,187,1993,Active
R0007,Pullen Tavern,Holly Springs,Late Night,187,1993,Active
R0007,Pullen Tavern,Holly Springs,Sports Bar,187,1993,Active
R0008,Umstead Chophouse,Holly Springs,Vegan,39,2013,Active
R0008,Umstead Chophouse,Holly Springs,Breakfast,39,2013,Active
R0008,Umstead Chophouse,Holly Springs,Coffee,39,2013,Active
R0008,Umstead Chophouse,Holly Springs,Catering,39,2013,Active
R0008,Umstead Chophouse,Holly Springs,Seafood,39,2013,Active
R0008,Umstead Chophouse,Holly Springs,Delivery,39,2013,Active
R0009,Boylan Counter,Durham,Italian,87,2012,Lapsed
R0009,Boylan Counter,Durham,Vegetarian Options,87,2012,Lapsed
R0009,Boylan Counter,Durham,Halal,87,2012,Lapsed
R0009,Boylan Counter,Durham,Delivery,87,2012,Lapsed
R0009,Boylan Counter,Durham,Pizza,87,2012,Lapsed
R0009,Boylan Counter,Durham,Breakfast,87,2012,Lapsed
R0009,Boylan Counter,Durham,Food Truck,87,2012,Lapsed
R0009,Boylan Counter,Durham,Southern,87,2012,Lapsed
R0010,Person Room,Holly Springs,Catering,44,2022,Active
R0010,Person Room,Holly Springs,Vegetarian Options,44,2022,Active
R0010,Person Room,Holly Springs,Mexican,44,2022,Active
R0010,Person Room,Holly Springs,Bakery,44,2022,Active
R0011,Person Taqueria,Raleigh,Seafood,102,2022,Active
R0011,Person Taqueria,Raleigh,Delivery,102,2022,Active
R0012,Martin Kitchen,Durham,Halal,47,1995,Pending
R0012,Martin Kitchen,Durham,Vegan,47,1995,Pending
R0012,Martin Kitchen,Durham,Thai,47,1995,Pending
R0012,Martin Kitchen,Durham,Vegetarian Options,47,1995,Pending
R0012,Martin Kitchen,Durham,Delivery,47,1995,Pending
R0013,Umstead Deli,Wake Forest,Halal,97,1993,Active
R0013,Umstead Deli,Wake Forest,Seafood,97,1993,Active
R0013,Umstead Deli,Wake Forest,Breakfast,97,1993,Active
R0013,Umstead Deli,Wake Forest,Vietnamese,97,1993,Active
R0013,Umstead Deli,Wake Forest,Catering,97,1993,Active
R0013,Umstead Deli,Wake Forest,Pizza,97,1993,Active
R0013,Umstead Deli,Wake Forest,Bakery,97,1993,Active
R0014,Trinity Public House,Wake Forest,Breakfast,123,2022,Active
R0014,Trinity Public House,Wake Forest,Late Night,123,2022,Active
R0014,Trinity Public House,Wake Forest,Italian,123,2022,Active
R0014,Trinity Public House,Wake Forest,Halal,123,2022,Active
R0014,Trinity Public House,Wake Forest,Pizza,123,2022,Active
R0014,Trinity Public House,Wake Forest,Coffee,123,2022,Active
R0014,Trinity Public House,Wake Forest,Vegan,123,2022,Active
R0014,Trinity Public House,Wake Forest,Vegetarian Options,123,2022,Active
R0015,Peace Smokehouse,Holly Springs,Catering,71,2010,Lapsed
R0016,Boylan House,Raleigh,Southern,58,2020,Active
R0017,Blount Trattoria,Knightdale,Halal,60,1981,Active
R0017,Blount Trattoria,Knightdale,Delivery,60,1981,Active
R0017,Blount Trattoria,Knightdale,Vegan,60,1981,Active
R0017,Blount Trattoria,Knightdale,Vietnamese,60,1981,Active
R0018,Harrington Taqueria,Cary,Sports Bar,131,2001,Active
R0018,Harrington Taqueria,Cary,Vegetarian Options,131,2001,Active
R0018,Harrington Taqueria,Cary,Pizza,131,2001,Active
R0018,Harrington Taqueria,Cary,Vegan,131,2001,Active
R0018,Harrington Taqueria,Cary,Thai,131,2001,Active
R0018,Harrington Taqueria,Cary,Seafood,131,2001,Active
R0019,Oak Public House,Garner,Seafood,68,1988,Active
R0019,Oak Public House,Garner,Italian,68,1988,Active
R0019,Oak Public House,Garner,Coffee,68,1988,Active
R0019,Oak Public House,Garner,Sports Bar,68,1988,Active
R0019,Oak Public House,Garner,Late Night,68,1988,Active
R0019,Oak Public House,Garner,Southern,68,1988,Active
R0019,Oak Public House,Garner,Breakfast,68,1988,Active
R0019,Oak Public House,Garner,Vietnamese,68,1988,Active
R0020,Blount Grill,Fuquay-Varina,Vietnamese,152,1995,Active
R0020,Blount Grill,Fuquay-Varina,Halal,152,1995,Active
R0020,Blount Grill,Fuquay-Varina,Food Truck,152,1995,Active
R0020,Blount Grill,Fuquay-Varina,Vegan,152,1995,Active
R0020,Blount Grill,Fuquay-Varina,Thai,152,1995,Active
R0020,Blount Grill,Fuquay-Varina,Breakfast,152,1995,Active
R0020,Blount Grill,Fuquay-Varina,Southern,152,1995,Active
R0020,Blount Grill,Fuquay-Varina,Delivery,152,1995,Active
R0021,Crabtree Bakery,Garner,Breakfast,53,2005,Active
R0021,Crabtree Bakery,Garner,Seafood,53,2005,Active
R0021,Crabtree Bakery,Garner,Halal,53,2005,Active
R0021,Crabtree Bakery,Garner,Thai,53,2005,Active
R0021,Crabtree Bakery,Garner,Late Night,53,2005,Active
R0022,Bloodworth Tavern,Apex,Vegan,91,1973,Active
R0022,Bloodworth Tavern,Apex,Vegetarian Options,91,1973,Active
R0022,Bloodworth Tavern,Apex,Bakery,91,1973,Active
R0022,Bloodworth Tavern,Apex,Seafood,91,1973,Active
R0023,Glenwood Trattoria,Wake Forest,Bakery,43,2014,Active
R0024,Martin Roasters,Morrisville,Food Truck,45,1992,Active
R0024,Martin Roasters,Morrisville,Halal,45,1992,Active
R0024,Martin Roasters,Morrisville,Vegetarian Options,45,1992,Active
R0024,Martin Roasters,Morrisville,Thai,45,1992,Active
R0025,Cameron Tavern,Holly Springs,Delivery,47,1988,Active
R0025,Cameron Tavern,Holly Springs,Thai,47,1988,Active
