unit_code,location_name,category,campus_zone,inspection_date,score,seats,avg_ticket,open_now,manager_notes
4950,Withers Grill, Coffee,Centennial,03/20/2025,100.0,28,$24.87,TRUE,
1515,Dabney Salad Bar,Coffee Shop,Off-Campus,10/2/24,90.1,30,$4.97,0,Reinspection scheduled
6390,Cox Deli Counter,Coffee Shop,Centennial,"January 4, 2025",  ,28,$22.88,FALSE,CafÃ© side entrance blocked
0029,Riddick Grill,Dining Hall,North,2024-07-18,93.1,530,$24.62,FALSE,
8312, WEAVER PIZZA WINDOW,food truck,Centennial,2024-02-22 16:15:00,86.8,unknown,$16.80,1,No issues noted
2781,Daniels Food Court ,Coffee,North,2025-05-23,92.4,NA,$11.40,TRUE,
8761,Leazar Snack Shop,Food truck,Centennial,2024-06-10,92.0,6,$16.62,TRUE,Owner requested re-score â€” pending
0981, Mann Pizza Window,FastCasual,Central,2024-07-14 18:30:00,91.6,34,$8.33,yes,Owner requested re-score â€” pending
5070, PULLEN NOODLE STATION,food truck,Off-Campus,1/28/25,89.3,4,$23.40,FALSE,CafÃ© side entrance blocked
6611,  Scott Snack Shop ,DINING HALL,Central,20-Dec-2024,96.4,485,$8.55,Y,Owner requested re-score â€” pending
4268,CrÃ¨me Scott Pizza Window,Dining hall,Vet School,11/21/2024,93.1,464,$9.99,TRUE,Reinspection scheduled
3886, DANIELS CAFE,foodtruck,Off-Campus,4/8/25,81.7,6,NA,1,CafÃ© side entrance blocked
6478, BÃ¡nh Fountain Market,FastCasual,Vet School,"November 17, 2024",unknown,54,$17.82,FALSE,
8761, LEAZAR SNACK SHOP,food truck,Centennial,2024-06-10,92.0,6,$16.62,TRUE,Owner requested re-score â€” pending
6285,   PULLEN MARKET ,food truck,Central,1/6/25,92.9,7,$19.97,yes,Walk-in temp logged at 41Â°F
8761,Leazar Snack Shop,Food truck,Centennial,2024-06-10,92.0,6,$16.62,TRUE,Owner requested re-score â€” pending
6285,  Pullen Market ,Food Truck,Central,1/6/25,92.9,7,$19.97,yes,Walk-in temp logged at 41Â°F
